NWSID,NOSID,Name,State,ETSS Lon,ETSS Lat,ETSS proximity,ETSS URL,ESTOFS Lon,ETSOFS Lat,ESTOFS proximity,ESTOFS URL,COOPS Lon,COOPS Lat,ETSS HAT-ft,ETSS MHHW-ft,ETSS MSL-ft,ETSS MLLW-ft,Minor MLLW ft,Moderate MLLW ft,Major MLLW ft,MHHW m,MLLW m,MHHW MLLW ft,Minor MHHW ft,Moderate MHHW ft,Major MHHW ft
WELM1,8419317,Wells-ME,ME,-70.5633,43.32,2.43E-05,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8419317&datum=MLLW&show=1-1-0-1-1,-70.5589,43.3215,0.0035397,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8419317.png,-70.5633,43.32,26.43,24.33,19.54,14.77,,,,7.413,4.5,9.56,,,
CASM1,8418150,Portland-ME,ME,-70.2466,43.6566,0.0016007,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8418150&datum=MLLW&show=1-1-0-1-1,-70.246,43.6561,0.0012011,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8418150.png,-70.2467,43.655,20.5,18.46,13.49,8.55,12,13,14,5.626,2.607,9.9,2.1,3.1,4.1
ATGM1,8413320,Bar-Harbor-Frenchman-Bay-ME,ME,-68.205,44.3916,0.0011928,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8413320&datum=MLLW&show=1-1-0-1-1,-68.2038,44.3931,0.0014895,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8413320.png,-68.2033,44.3917,17.16,14.84,9.14,3.47,17,20,23,4.524,1.058,11.37,5.6,8.6,11.6
PSBM1,8410140,Eastport-ME,ME,-66.985,44.9033,3.33E-05,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8410140&datum=MLLW&show=1-1-0-1-1,-66.9826,44.9045,0.0020678,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8410140.png,-66.985,44.9033,27.75,24.07,14.5,4.8,23,26,29,7.336,1.462,19.27,3.7,6.7,9.7
CFWM1,8411060,Cutler-Farris-Wharf-ME,ME,-67.2692,44.6281,0.053897,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8411060&datum=MLLW&show=1-1-0-1-1,-67.1872,44.6494,0.01463,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8411060.png,-67.205,44.6567,22.79,20.03,12.67,5.48,20,23,26,6.106,1.662,14.58,5.4,8.4,11.4
ASTM1,8417134,Gardiner-ME,ME,-69.7667,44.2333,4.10E-05,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8417134&datum=MLLW&show=1-1-0-1-1,,,,,-69.7667,44.2333,29.43,28.24,24.91,21.72, , , , , , , , , 
FTPN3,8423898,Portsmouth-(Fort-Point)-NH,NH,-70.7117,43.0712,0.0013266,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8423898&datum=MLLW&show=1-1-0-1-1,-70.7103,43.0717,0.00021412,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8423898.png,-70.71,43.0717,14.22,12.1,7.4,2.71,12,13,14,3.694,0.829,9.4,2.6,3.6,4.6
NTKM3,8449130,Nantucket-Island-MA,MA,-70.0966,41.285,5.01E-05,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8449130&datum=MLLW&show=1-1-0-1-1,-70.0914,41.2862,0.0041616,http://polar.ncep.noaa.gov/estofs/nowcoast/estofs_atl/ts-8449130.png,-70.0967,41.285,7.41,6.57,4.77,3,5,6,8,2.004,0.915,3.57,1.4,2.4,4.4
CHTM3,8447435,Chatham-MA,MA,-69.95,41.6883,0.0012451,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8447435&datum=MLLW&show=1-1-0-1-1,,,,,-69.9517,41.6883,11.2,9.38,6.64,3.88,9,10,12,2.957,1.003,6.41,2.6,3.6,5.6
ZZZZZ,8447270,Buzzards-Bay-MA,MA,-70.6183,41.7416,0.0012205,http://slosh.nws.noaa.gov/etss/station/etsurge2.0esri/index.php?stid=8447270&datum=MLLW&show=1-1-0-1-1,,,,,-70.6167,41.7417,5.86,4.59,2.33,0.44, , , , , , , , , 
